score,BA,H,RBI,BB,k,SB,holds,avgR,ER,bb,SO,nHR
7,32,10,7,3,2,1,10,7,7,3,2,2
4,36,13,4,2,2,0,13,4,4,2,2,0
3,36,12,3,3,2,2,12,3,3,3,2,0
3,31,4,3,0,3,0,4,3,1,0,3,1
4,26,5,4,2,3,0,5,4,4,2,3,1
0,30,5,0,1,3,0,5,0,0,1,3,0
5,31,6,5,1,5,0,6,5,1,1,5,1
3,35,11,3,2,4,0,11,3,2,2,4,0
4,30,7,4,1,9,0,7,4,4,1,9,1
7,37,12,6,6,8,1,12,7,6,6,8,0
3,30,11,2,2,5,0,11,3,3,2,5,0
4,31,8,4,0,2,0,8,4,4,0,2,1
9,38,14,7,0,3,3,14,9,3,0,3,1
10,37,12,10,4,8,3,12,10,7,4,8,0
7,40,16,6,4,7,0,16,7,6,4,7,0
0,26,0,0,3,3,1,0,0,0,3,3,0
4,34,9,3,2,1,6,9,4,2,2,1,0
4,32,9,4,3,2,1,9,4,4,3,2,1
1,33,8,1,2,6,0,8,1,1,2,6,0
2,31,6,2,1,11,0,6,2,2,1,11,1
4,25,3,2,4,3,0,3,4,2,4,3,0
3,30,5,2,7,1,0,5,3,2,7,1,0
3,30,7,2,6,8,1,7,3,3,6,8,0
4,32,11,3,4,5,1,11,4,4,4,5,0
3,34,10,3,3,8,0,10,3,3,3,8,0
2,29,6,2,4,1,1,6,2,2,4,1,0
2,29,5,2,5,6,2,5,2,2,5,6,1
0,30,6,0,3,8,0,6,0,0,3,8,0
2,28,5,2,3,0,0,5,2,2,3,0,1
7,39,17,7,5,2,4,17,7,7,5,2,0
4,35,9,4,0,4,0,9,4,4,0,4,1
4,33,9,4,2,0,1,9,4,4,2,0,2
5,31,9,4,3,3,1,9,5,4,3,3,0
1,33,7,1,1,1,1,7,1,1,1,1,0
5,26,7,5,7,1,1,7,5,4,7,1,0
2,31,8,2,0,8,0,8,2,2,0,8,0
3,32,10,3,1,5,1,10,3,3,1,5,0
4,33,6,4,5,5,0,6,4,1,5,5,1
5,31,9,5,3,8,0,9,5,5,3,8,2
4,34,12,4,4,5,0,12,4,4,4,5,3
4,35,9,4,0,1,1,9,4,4,0,1,2
2,33,7,2,3,4,0,7,2,1,3,4,0
4,29,11,4,3,5,1,11,4,3,3,5,0
5,32,8,4,6,4,0,8,5,5,6,4,1
6,34,10,5,5,5,1,10,6,5,5,5,2
4,34,9,4,2,4,0,9,4,2,2,4,1
0,33,7,0,2,3,0,7,0,0,2,3,0
6,34,10,6,6,3,1,10,6,6,6,3,0
4,33,9,3,5,7,0,9,4,1,5,7,0
0,28,3,0,2,4,0,3,0,0,2,4,0
10,34,10,10,7,8,0,10,10,5,7,8,2
3,28,2,1,2,4,0,2,3,1,2,4,0
0,31,5,0,6,5,1,5,0,0,6,5,0
4,34,9,3,2,1,0,9,4,2,2,1,1
3,35,9,2,6,5,2,9,3,2,6,5,0
2,30,7,2,4,4,0,7,2,2,4,4,0
1,30,3,1,0,4,0,3,1,0,0,4,0
0,30,4,0,2,0,0,4,0,0,2,0,0
2,30,6,1,1,8,2,6,2,1,1,8,0
4,38,10,4,2,6,0,10,4,2,2,6,1
6,31,9,5,1,2,1,9,6,4,1,2,1
4,30,7,4,3,2,0,7,4,4,3,2,0
2,30,7,2,4,10,0,7,2,1,4,10,1
6,27,5,6,8,8,0,5,6,6,8,8,0
3,35,9,3,2,4,1,9,3,3,2,4,1
4,35,9,4,1,7,0,9,4,4,1,7,0
2,32,10,2,0,5,0,10,2,2,0,5,0
1,31,5,1,3,7,0,5,1,1,3,7,0
2,29,4,1,6,5,0,4,2,1,6,5,0
5,36,13,5,0,1,0,13,5,5,0,1,0
2,32,6,2,3,3,0,6,2,2,3,3,1
1,32,9,1,3,3,0,9,1,1,3,3,0
14,42,17,13,4,5,1,17,14,12,4,5,0
1,36,10,0,4,7,2,10,1,1,4,7,0
6,35,13,6,3,4,1,13,6,4,3,4,0
1,32,7,1,1,2,0,7,1,1,1,2,1
2,29,7,2,2,9,3,7,2,2,2,9,0
5,33,9,5,2,3,1,9,5,3,2,3,1
1,28,4,1,1,4,1,4,1,1,1,4,0
2,32,7,2,1,4,0,7,2,2,1,4,0
1,29,2,1,0,4,0,2,1,1,0,4,0
